!SIL	SIL
<SPOKEN_NOISE>	SPN
그것이	f0 m18 f0 m4 e18 f11 m20
그것이다	f0 m18 f0 m4 e18 f11 m20 f3 m0
그것이면	f0 m18 f0 m4 e18 f11 m20 f6 m6 e3
그게	f0 m18 f0 m5
그곡	f0 m18 f0 m8 e0
그곡을	f0 m18 f0 m8 e0 f11 m18 e7
그곳	f0 m18 f0 m8 e18
그곳까지	f0 m18 f0 m8 e18 f1 m0 f12 m20
그곳에	f0 m18 f0 m8 e18 f11 m5
그곳에는	f0 m18 f0 m8 e18 f11 m5 f2 m18 e3
그곳에서	f0 m18 f0 m8 e18 f11 m5 f9 m4
그곳으로	f0 m18 f0 m8 e18 f11 m18 f5 m8
그곳은	f0 m18 f0 m8 e18 f11 m18 e3
그곳을	f0 m18 f0 m8 e18 f11 m18 e7
그곳의	f0 m18 f0 m8 e18 f11 m19
그공	f0 m18 f0 m8 e20
그근	f0 m18 f0 m18 e3
그까짓	f0 m18 f1 m0 f12 m20 e18
그나마	f0 m18 f2 m0 f6 m0
그날	f0 m18 f2 m0 e7
그날들	f0 m18 f2 m0 e7 f3 m18 e7
그날로	f0 m18 f2 m0 e7 f5 m8
그날에	f0 m18 f2 m0 e7 f11 m5
그날엔	f0 m18 f2 m0 e7 f11 m5 e3
그날은	f0 m18 f2 m0 e7 f11 m18 e3
그날을	f0 m18 f2 m0 e7 f11 m18 e7
그날의	f0 m18 f2 m0 e7 f11 m19
그날이	f0 m18 f2 m0 e7 f11 m20
그날짜가	f0 m18 f2 m0 e7 f13 m0 f0 m0
그날짜로	f0 m18 f2 m0 e7 f13 m0 f5 m8
그날짜에	f0 m18 f2 m0 e7 f13 m0 f11 m5
그냥	f0 m18 f2 m2 e20
그네	f0 m18 f2 m5
그네랑	f0 m18 f2 m5 f5 m0 e20
그네와	f0 m18 f2 m5 f11 m9
그네의	f0 m18 f2 m5 f11 m19
그녀	f0 m18 f2 m6
그녀가	f0 m18 f2 m6 f0 m0
그녀는	f0 m18 f2 m6 f2 m18 e3
그녀도	f0 m18 f2 m6 f3 m8
그녀들은	f0 m18 f2 m6 f3 m18 e7 f11 m18 e3
그녀를	f0 m18 f2 m6 f5 m18 e7
그녀에	f0 m18 f2 m6 f11 m5
그녀에게	f0 m18 f2 m6 f11 m5 f0 m5
그녀에게라는	f0 m18 f2 m6 f11 m5 f0 m5 f5 m0 f2 m18 e3
그녀와	f0 m18 f2 m6 f11 m9
그녀의	f0 m18 f2 m6 f11 m19
그놈	f0 m18 f2 m8 e15
그놈의	f0 m18 f2 m8 e15 f11 m19
그놈이	f0 m18 f2 m8 e15 f11 m20
그는	f0 m18 f2 m18 e3
그늘	f0 m18 f2 m18 e7
그니는	f0 m18 f2 m20 f2 m18 e3
그다음	f0 m18 f3 m0 f11 m18 e15
그다지	f0 m18 f3 m0 f12 m20
그대	f0 m18 f3 m1
그대가	f0 m18 f3 m1 f0 m0
그대는	f0 m18 f3 m1 f2 m18 e3
그대도	f0 m18 f3 m1 f3 m8
그대로	f0 m18 f3 m1 f5 m8
그대로고	f0 m18 f3 m1 f5 m8 f0 m8
그대로야	f0 m18 f3 m1 f5 m8 f11 m2
그대르	f0 m18 f3 m1 f5 m18
그대를	f0 m18 f3 m1 f5 m18 e7
그대에게	f0 m18 f3 m1 f11 m5 f0 m5
그대의	f0 m18 f3 m1 f11 m19
그도	f0 m18 f3 m8
그동안	f0 m18 f3 m8 e20 f11 m0 e3
그들	f0 m18 f3 m18 e7
그들과	f0 m18 f3 m18 e7 f0 m9
그들도	f0 m18 f3 m18 e7 f3 m8
그들만의	f0 m18 f3 m18 e7 f6 m0 e3 f11 m19
그들에게	f0 m18 f3 m18 e7 f11 m5 f0 m5
그들에게서	f0 m18 f3 m18 e7 f11 m5 f0 m5 f9 m4
그들은	f0 m18 f3 m18 e7 f11 m18 e3
그들을	f0 m18 f3 m18 e7 f11 m18 e7
그들의	f0 m18 f3 m18 e7 f11 m19
그들이	f0 m18 f3 m18 e7 f11 m20
그디어	f0 m18 f3 m20 f11 m4
그때	f0 m18 f4 m1
그때까지	f0 m18 f4 m1 f1 m0 f12 m20
그때는	f0 m18 f4 m1 f2 m18 e3
그때로	f0 m18 f4 m1 f5 m8
그때마다	f0 m18 f4 m1 f6 m0 f3 m0
그때부터	f0 m18 f4 m1 f7 m13 f16 m4
그때서야	f0 m18 f4 m1 f9 m4 f11 m2
그때였다	f0 m18 f4 m1 f11 m6 e19 f3 m0
그때의	f0 m18 f4 m1 f11 m19
그땐	f0 m18 f4 m1 e3
그랄	f0 m18 f5 m0 e7
그래	f0 m18 f5 m1
그래가지고	f0 m18 f5 m1 f0 m0 f12 m20 f0 m8
그래도	f0 m18 f5 m1 f3 m8
그래봐	f0 m18 f5 m1 f7 m9
그래서	f0 m18 f5 m1 f9 m4
그래야	f0 m18 f5 m1 f11 m2
그래여	f0 m18 f5 m1 f11 m6
그래요	f0 m18 f5 m1 f11 m12
그랜드	f0 m18 f5 m1 e3 f3 m18
그랬거든	f0 m18 f5 m1 e19 f0 m4 f3 m18 e3
그랬구나	f0 m18 f5 m1 e19 f0 m13 f2 m0
그랬냐	f0 m18 f5 m1 e19 f2 m2
그랬는데	f0 m18 f5 m1 e19 f2 m18 e3 f3 m5
그랬니	f0 m18 f5 m1 e19 f2 m20
그랬다	f0 m18 f5 m1 e19 f3 m0
그랬더니	f0 m18 f5 m1 e19 f3 m4 f2 m20
그랬던	f0 m18 f5 m1 e19 f3 m4 e3
그랬던거	f0 m18 f5 m1 e19 f3 m4 e3 f0 m4
그랬어	f0 m18 f5 m1 e19 f11 m4
그랬어요	f0 m18 f5 m1 e19 f11 m4 f11 m12
그랬지	f0 m18 f5 m1 e19 f12 m20
그러	f0 m18 f5 m4
그러거든	f0 m18 f5 m4 f0 m4 f3 m18 e3
그러고	f0 m18 f5 m4 f0 m8
그러고는	f0 m18 f5 m4 f0 m8 f2 m18 e3
그러기	f0 m18 f5 m4 f0 m20
그러나	f0 m18 f5 m4 f2 m0
그러네	f0 m18 f5 m4 f2 m5
그러네요	f0 m18 f5 m4 f2 m5 f11 m12
그러는	f0 m18 f5 m4 f2 m18 e3
그러는게	f0 m18 f5 m4 f2 m18 e3 f0 m5
그러는구나	f0 m18 f5 m4 f2 m18 e3 f0 m13 f2 m0
그러는데	f0 m18 f5 m4 f2 m18 e3 f3 m5
그러니	f0 m18 f5 m4 f2 m20
그러니까	f0 m18 f5 m4 f2 m20 f1 m0
그러니깐	f0 m18 f5 m4 f2 m20 f1 m0 e3
그러다	f0 m18 f5 m4 f3 m0
그러다가	f0 m18 f5 m4 f3 m0 f0 m0
그러더니	f0 m18 f5 m4 f3 m4 f2 m20
그러던	f0 m18 f5 m4 f3 m4 e3
그러던데	f0 m18 f5 m4 f3 m4 e3 f3 m5
그러든	f0 m18 f5 m4 f3 m18 e3
그러디	f0 m18 f5 m4 f3 m20
그러며	f0 m18 f5 m4 f6 m6
그러면	f0 m18 f5 m4 f6 m6 e3
그러면서	f0 m18 f5 m4 f6 m6 e3 f9 m4
그러면서도	f0 m18 f5 m4 f6 m6 e3 f9 m4 f3 m8
그러면은	f0 m18 f5 m4 f6 m6 e3 f11 m18 e3
그러므로	f0 m18 f5 m4 f6 m18 f5 m8
그러세요	f0 m18 f5 m4 f9 m5 f11 m12
그러셔야겠어요	f0 m18 f5 m4 f9 m6 f11 m2 f0 m5 e19 f11 m4 f11 m12
그러셨어요	f0 m18 f5 m4 f9 m6 e19 f11 m4 f11 m12
그러시군요	f0 m18 f5 m4 f9 m20 f0 m13 e3 f11 m12
그러시는게	f0 m18 f5 m4 f9 m20 f2 m18 e3 f0 m5
그러시는데요	f0 m18 f5 m4 f9 m20 f2 m18 e3 f3 m5 f11 m12
그러시던데	f0 m18 f5 m4 f9 m20 f3 m4 e3 f3 m5
그러시지	f0 m18 f5 m4 f9 m20 f12 m20
그러자	f0 m18 f5 m4 f12 m0
그러쟎아	f0 m18 f5 m4 f12 m2 e5 f11 m0
그러지	f0 m18 f5 m4 f12 m20
그러한	f0 m18 f5 m4 f18 m0 e3
그런	f0 m18 f5 m4 e3
그런가	f0 m18 f5 m4 e3 f0 m0
그런구나	f0 m18 f5 m4 e3 f0 m13 f2 m0
그런다	f0 m18 f5 m4 e3 f3 m0
그런대로	f0 m18 f5 m4 e3 f3 m1 f5 m8
그런데	f0 m18 f5 m4 e3 f3 m5
그런데도	f0 m18 f5 m4 e3 f3 m5 f3 m8
그런지	f0 m18 f5 m4 e3 f12 m20
그런한	f0 m18 f5 m4 e3 f18 m0 e3
그럴	f0 m18 f5 m4 e7
그럴래	f0 m18 f5 m4 e7 f5 m1
그럴수록	f0 m18 f5 m4 e7 f9 m13 f5 m8 e0
그럼	f0 m18 f5 m4 e15
그럼에도	f0 m18 f5 m4 e15 f11 m5 f3 m8
그럼요	f0 m18 f5 m4 e15 f11 m12
그럽니다	f0 m18 f5 m4 e16 f2 m20 f3 m0
그렁	f0 m18 f5 m4 e20
그렇게	f0 m18 f5 m4 e26 f0 m5
그렇게도	f0 m18 f5 m4 e26 f0 m5 f3 m8
그렇게해서	f0 m18 f5 m4 e26 f0 m5 f18 m1 f9 m4
그렇고	f0 m18 f5 m4 e26 f0 m8
그렇구나	f0 m18 f5 m4 e26 f0 m13 f2 m0
그렇군요	f0 m18 f5 m4 e26 f0 m13 e3 f11 m12
그렇기	f0 m18 f5 m4 e26 f0 m20
그렇네	f0 m18 f5 m4 e26 f2 m5
그렇네요	f0 m18 f5 m4 e26 f2 m5 f11 m12
그렇다	f0 m18 f5 m4 e26 f3 m0
그렇다고	f0 m18 f5 m4 e26 f3 m0 f0 m8
그렇다면	f0 m18 f5 m4 e26 f3 m0 f6 m6 e3
그렇단다	f0 m18 f5 m4 e26 f3 m0 e3 f3 m0
그렇듯	f0 m18 f5 m4 e26 f3 m18 e18
그렇습니다	f0 m18 f5 m4 e26 f9 m18 e16 f2 m20 f3 m0
그렇죠	f0 m18 f5 m4 e26 f12 m12
그렇지	f0 m18 f5 m4 e26 f12 m20
그렇지가	f0 m18 f5 m4 e26 f12 m20 f0 m0
그렇지만	f0 m18 f5 m4 e26 f12 m20 f6 m0 e3
그렇진	f0 m18 f5 m4 e26 f12 m20 e3
그렇치	f0 m18 f5 m4 e26 f14 m20
그렇하면	f0 m18 f5 m4 e26 f18 m0 f6 m6 e3
그려	f0 m18 f5 m6
그려면	f0 m18 f5 m6 f6 m6 e3
그로	f0 m18 f5 m8
그로부터	f0 m18 f5 m8 f7 m13 f16 m4
그룩	f0 m18 f5 m13 e0
그룹	f0 m18 f5 m13 e16
그룹에	f0 m18 f5 m13 e16 f11 m5
그룹의	f0 m18 f5 m13 e16 f11 m19
그른	f0 m18 f5 m18 e3
그를	f0 m18 f5 m18 e7
그릇	f0 m18 f5 m18 e18
그릇을	f0 m18 f5 m18 e18 f11 m18 e7
그릇의	f0 m18 f5 m18 e18 f11 m19
그리	f0 m18 f5 m20
그리고	f0 m18 f5 m20 f0 m8
그리고는	f0 m18 f5 m20 f0 m8 f2 m18 e3
그리고서	f0 m18 f5 m20 f0 m8 f9 m4
그리곤	f0 m18 f5 m20 f0 m8 e3
그리구	f0 m18 f5 m20 f0 m13
그리는	f0 m18 f5 m20 f2 m18 e3
그리로	f0 m18 f5 m20 f5 m8
그리스	f0 m18 f5 m20 f9 m18
그리스가	f0 m18 f5 m20 f9 m18 f0 m0
그리스도	f0 m18 f5 m20 f9 m18 f3 m8
그리스도를	f0 m18 f5 m20 f9 m18 f3 m8 f5 m18 e7
그리스도의	f0 m18 f5 m20 f9 m18 f3 m8 f11 m19
그리스와	f0 m18 f5 m20 f9 m18 f11 m9
그리스의	f0 m18 f5 m20 f9 m18 f11 m19
그리스입니다	f0 m18 f5 m20 f9 m18 f11 m20 e16 f2 m20 f3 m0
그리스펀	f0 m18 f5 m20 f9 m18 f17 m4 e3
그리운	f0 m18 f5 m20 f11 m13 e3
그리하여	f0 m18 f5 m20 f18 m0 f11 m6
그린	f0 m18 f5 m20 e3
그린벨트	f0 m18 f5 m20 e3 f7 m5 e7 f16 m18
그린빌	f0 m18 f5 m20 e3 f7 m20 e7
그린빌이	f0 m18 f5 m20 e3 f7 m20 e7 f11 m20
그린아파트가	f0 m18 f5 m20 e3 f11 m0 f17 m0 f16 m18 f0 m0
그린입니다	f0 m18 f5 m20 e3 f11 m20 e16 f2 m20 f3 m0
그린피	f0 m18 f5 m20 e3 f17 m20
그린필드에서	f0 m18 f5 m20 e3 f17 m20 e7 f3 m18 f11 m5 f9 m4
그린필드입니다	f0 m18 f5 m20 e3 f17 m20 e7 f3 m18 f11 m20 e16 f2 m20 f3 m0
그림	f0 m18 f5 m20 e15
그림을	f0 m18 f5 m20 e15 f11 m18 e7
그림의	f0 m18 f5 m20 e15 f11 m19
그림이	f0 m18 f5 m20 e15 f11 m20
그림자	f0 m18 f5 m20 e15 f12 m0
그림자가	f0 m18 f5 m20 e15 f12 m0 f0 m0
그림자를	f0 m18 f5 m20 e15 f12 m0 f5 m18 e7
그림자와	f0 m18 f5 m20 e15 f12 m0 f11 m9
그만	f0 m18 f6 m0 e3
그만두고	f0 m18 f6 m0 e3 f3 m13 f0 m8
그만둬라입니다	f0 m18 f6 m0 e3 f3 m14 f5 m0 f11 m20 e16 f2 m20 f3 m0
그만큼	f0 m18 f6 m0 e3 f15 m18 e15
그만하고	f0 m18 f6 m0 e3 f18 m0 f0 m8
그만한	f0 m18 f6 m0 e3 f18 m0 e3
그만해	f0 m18 f6 m0 e3 f18 m1
그만해도	f0 m18 f6 m0 e3 f18 m1 f3 m8
그면	f0 m18 f6 m6 e3
그밖에	f0 m18 f7 m0 e1 f11 m5
그밖의	f0 m18 f7 m0 e1 f11 m19
그보다	f0 m18 f7 m8 f3 m0
그분은	f0 m18 f7 m13 e3 f11 m18 e3
그분을	f0 m18 f7 m13 e3 f11 m18 e7
그분의	f0 m18 f7 m13 e3 f11 m19
그분이	f0 m18 f7 m13 e3 f11 m20
그사람	f0 m18 f9 m0 f5 m0 e15
그야말로	f0 m18 f11 m2 f6 m0 e7 f5 m8
그에	f0 m18 f11 m5
그에게	f0 m18 f11 m5 f0 m5
그에게는	f0 m18 f11 m5 f0 m5 f2 m18 e3
그에게서	f0 m18 f11 m5 f0 m5 f9 m4
그와	f0 m18 f11 m9
그외	f0 m18 f11 m11
그의	f0 m18 f11 m19
그이	f0 m18 f11 m20
그저	f0 m18 f12 m4
그전	f0 m18 f12 m4 e3
그제서야	f0 m18 f12 m5 f9 m4 f11 m2
그제야	f0 m18 f12 m5 f11 m2
그중	f0 m18 f12 m13 e20
그중에	f0 m18 f12 m13 e20 f11 m5
그중에서	f0 m18 f12 m13 e20 f11 m5 f9 m4
그지	f0 m18 f12 m20
그쪽	f0 m18 f13 m8 e0
그쪽에	f0 m18 f13 m8 e0 f11 m5
그쪽으로	f0 m18 f13 m8 e0 f11 m18 f5 m8
그쪽의	f0 m18 f13 m8 e0 f11 m19
그처럼	f0 m18 f14 m4 f5 m4 e15
그쳐	f0 m18 f14 m6
그쳐가	f0 m18 f14 m6 f0 m0
그쳤다	f0 m18 f14 m6 e19 f3 m0
그치겠니	f0 m18 f14 m20 f0 m5 e19 f2 m20
그치겠습니다	f0 m18 f14 m20 f0 m5 e19 f9 m18 e16 f2 m20 f3 m0
그치고	f0 m18 f14 m20 f0 m8
그치는	f0 m18 f14 m20 f2 m18 e3
그치는데	f0 m18 f14 m20 f2 m18 e3 f3 m5
그치는지	f0 m18 f14 m20 f2 m18 e3 f12 m20
그치니	f0 m18 f14 m20 f2 m20
그치지	f0 m18 f14 m20 f12 m20
그친데	f0 m18 f14 m20 e3 f3 m5
그칠	f0 m18 f14 m20 e7
그칠겁니다	f0 m18 f14 m20 e7 f0 m4 e16 f2 m20 f3 m0
그칠까	f0 m18 f14 m20 e7 f1 m0
그칠수	f0 m18 f14 m20 e7 f9 m13
그토록	f0 m18 f16 m8 f5 m8 e0
그후	f0 m18 f18 m13
극동건설이에요	f0 m18 e0 f3 m8 e20 f0 m4 e3 f9 m4 e7 f11 m20 f11 m5 f11 m12
극비	f0 m18 e0 f7 m20
극비대화가	f0 m18 e0 f7 m20 f3 m1 f18 m9 f0 m0
극비리	f0 m18 e0 f7 m20 f5 m20
극빈층	f0 m18 e0 f7 m20 e3 f14 m18 e20
극심한	f0 m18 e0 f9 m20 e15 f18 m0 e3
극약처방이	f0 m18 e0 f11 m2 e0 f14 m4 f7 m0 e20 f11 m20
극언	f0 m18 e0 f11 m4 e3
극우영화에	f0 m18 e0 f11 m13 f11 m6 e20 f18 m9 f11 m5
극장	f0 m18 e0 f12 m0 e20
극장가	f0 m18 e0 f12 m0 e20 f0 m0
극장까지	f0 m18 e0 f12 m0 e20 f1 m0 f12 m20
극장까지는	f0 m18 e0 f12 m0 e20 f1 m0 f12 m20 f2 m18 e3
극장에	f0 m18 e0 f12 m0 e20 f11 m5
극장에서	f0 m18 e0 f12 m0 e20 f11 m5 f9 m4
극장으로	f0 m18 e0 f12 m0 e20 f11 m18 f5 m8
극장을	f0 m18 e0 f12 m0 e20 f11 m18 e7
극장이	f0 m18 e0 f12 m0 e20 f11 m20
극장이야	f0 m18 e0 f12 m0 e20 f11 m20 f11 m2
극장이에요	f0 m18 e0 f12 m0 e20 f11 m20 f11 m5 f11 m12
극장입니다	f0 m18 e0 f12 m0 e20 f11 m20 e16 f2 m20 f3 m0
극히	f0 m18 e0 f18 m20
근거	f0 m18 e3 f0 m4
근거가	f0 m18 e3 f0 m4 f0 m0
근거로	f0 m18 e3 f0 m4 f5 m8
근거를	f0 m18 e3 f0 m4 f5 m18 e7
근교	f0 m18 e3 f0 m12
근데	f0 m18 e3 f3 m5
근로자	f0 m18 e3 f5 m8 f12 m0
근무	f0 m18 e3 f6 m13
근무가	f0 m18 e3 f6 m13 f0 m0
근무로	f0 m18 e3 f6 m13 f5 m8
근무에	f0 m18 e3 f6 m13 f11 m5
근무하는	f0 m18 e3 f6 m13 f18 m0 f2 m18 e3
근본적으로	f0 m18 e3 f7 m8 e3 f12 m4 e0 f11 m18 f5 m8
근본적인	f0 m18 e3 f7 m8 e3 f12 m4 e0 f11 m20 e3
근식이	f0 m18 e3 f9 m20 e0 f11 m20
근식이한테	f0 m18 e3 f9 m20 e0 f11 m20 f18 m0 e3 f16 m5
근우는	f0 m18 e3 f11 m13 f2 m18 e3
근창이	f0 m18 e3 f14 m0 e20 f11 m20
근처	f0 m18 e3 f14 m4
근처가	f0 m18 e3 f14 m4 f0 m0
근처까지	f0 m18 e3 f14 m4 f1 m0 f12 m20
근처로	f0 m18 e3 f14 m4 f5 m8
근처에	f0 m18 e3 f14 m4 f11 m5
근처에서	f0 m18 e3 f14 m4 f11 m5 f9 m4
근처의	f0 m18 e3 f14 m4 f11 m19
근황	f0 m18 e3 f18 m9 e20
근황은	f0 m18 e3 f18 m9 e20 f11 m18 e3
근황을	f0 m18 e3 f18 m9 e20 f11 m18 e7
근황이	f0 m18 e3 f18 m9 e20 f11 m20
글	f0 m18 e7
글로발	f0 m18 e7 f5 m8 f7 m0 e7
글로벌	f0 m18 e7 f5 m8 f7 m4 e7
글루	f0 m18 e7 f5 m13
글밭	f0 m18 e7 f7 m0 e24
글쎄	f0 m18 e7 f10 m5
글을	f0 m18 e7 f11 m18 e7
글이	f0 m18 e7 f11 m20
글자가	f0 m18 e7 f12 m0 f0 m0
금	f0 m18 e15
금감원	f0 m18 e15 f0 m0 e15 f11 m14 e3
금감위	f0 m18 e15 f0 m0 e15 f11 m16
금강산	f0 m18 e15 f0 m0 e20 f9 m0 e3
금강산전이	f0 m18 e15 f0 m0 e20 f9 m0 e3 f12 m4 e3 f11 m20
금리	f0 m18 e15 f5 m20
금리가	f0 m18 e15 f5 m20 f0 m0
금리는	f0 m18 e15 f5 m20 f2 m18 e3
금리도	f0 m18 e15 f5 m20 f3 m8
금리를	f0 m18 e15 f5 m20 f5 m18 e7
금메달	f0 m18 e15 f6 m5 f3 m0 e7
금메달감	f0 m18 e15 f6 m5 f3 m0 e7 f0 m0 e15
금메달보다	f0 m18 e15 f6 m5 f3 m0 e7 f7 m8 f3 m0
금메달에	f0 m18 e15 f6 m5 f3 m0 e7 f11 m5
금메달이	f0 m18 e15 f6 m5 f3 m0 e7 f11 m20
금메달입니다	f0 m18 e15 f6 m5 f3 m0 e7 f11 m20 e16 f2 m20 f3 m0
금방	f0 m18 e15 f7 m0 e20
금방이라도	f0 m18 e15 f7 m0 e20 f11 m20 f5 m0 f3 m8
금빛데이트입니다	f0 m18 e15 f7 m20 e22 f3 m5 f11 m20 f16 m18 f11 m20 e16 f2 m20 f3 m0
금사냥	f0 m18 e15 f9 m0 f2 m2 e20
금새	f0 m18 e15 f9 m1
금성무	f0 m18 e15 f9 m4 e20 f6 m13
금세	f0 m18 e15 f9 m5
금속	f0 m18 e15 f9 m8 e0
금순이	f0 m18 e15 f9 m13 e3 f11 m20
금순이네	f0 m18 e15 f9 m13 e3 f11 m20 f2 m5
금순이랑	f0 m18 e15 f9 m13 e3 f11 m20 f5 m0 e20
금순이야	f0 m18 e15 f9 m13 e3 f11 m20 f11 m2
금순이한테	f0 m18 e15 f9 m13 e3 f11 m20 f18 m0 e3 f16 m5
금액	f0 m18 e15 f11 m1 e0
금액만	f0 m18 e15 f11 m1 e0 f6 m0 e3
금액만기의	f0 m18 e15 f11 m1 e0 f6 m0 e3 f0 m20 f11 m19
금액에	f0 m18 e15 f11 m1 e0 f11 m5
금액은	f0 m18 e15 f11 m1 e0 f11 m18 e3
금액을	f0 m18 e15 f11 m1 e0 f11 m18 e7
금액의	f0 m18 e15 f11 m1 e0 f11 m19
금액이	f0 m18 e15 f11 m1 e0 f11 m20
금연은	f0 m18 e15 f11 m6 e3 f11 m18 e3
금영광이라고	f0 m18 e15 f11 m6 e20 f0 m9 e20 f11 m20 f5 m0 f0 m8
금오분기점에서	f0 m18 e15 f11 m8 f7 m13 e3 f0 m20 f12 m4 e15 f11 m5 f9 m4
금요일	f0 m18 e15 f11 m12 f11 m20 e7
금요일과	f0 m18 e15 f11 m12 f11 m20 e7 f0 m9
금요일까지	f0 m18 e15 f11 m12 f11 m20 e7 f1 m0 f12 m20
금요일까지는	f0 m18 e15 f11 m12 f11 m20 e7 f1 m0 f12 m20 f2 m18 e3
금요일까지에요	f0 m18 e15 f11 m12 f11 m20 e7 f1 m0 f12 m20 f11 m5 f11 m12
금요일날	f0 m18 e15 f11 m12 f11 m20 e7 f2 m0 e7
금요일로	f0 m18 e15 f11 m12 f11 m20 e7 f5 m8
금요일마다	f0 m18 e15 f11 m12 f11 m20 e7 f6 m0 f3 m0
금요일부터	f0 m18 e15 f11 m12 f11 m20 e7 f7 m13 f16 m4
금요일부터에요	f0 m18 e15 f11 m12 f11 m20 e7 f7 m13 f16 m4 f11 m5 f11 m12
금요일에	f0 m18 e15 f11 m12 f11 m20 e7 f11 m5
금요일에는	f0 m18 e15 f11 m12 f11 m20 e7 f11 m5 f2 m18 e3
금요일에요	f0 m18 e15 f11 m12 f11 m20 e7 f11 m5 f11 m12
금요일은	f0 m18 e15 f11 m12 f11 m20 e7 f11 m18 e3
금요일의	f0 m18 e15 f11 m12 f11 m20 e7 f11 m19
금요일이	f0 m18 e15 f11 m12 f11 m20 e7 f11 m20
금요일이거든	f0 m18 e15 f11 m12 f11 m20 e7 f11 m20 f0 m4 f3 m18 e3
금요일이고	f0 m18 e15 f11 m12 f11 m20 e7 f11 m20 f0 m8
금요일이라고	f0 m18 e15 f11 m12 f11 m20 e7 f11 m20 f5 m0 f0 m8
금요일이야	f0 m18 e15 f11 m12 f11 m20 e7 f11 m20 f11 m2
금요일이에요	f0 m18 e15 f11 m12 f11 m20 e7 f11 m20 f11 m5 f11 m12
금요일인데	f0 m18 e15 f11 m12 f11 m20 e7 f11 m20 e3 f3 m5
금요일일	f0 m18 e15 f11 m12 f11 m20 e7 f11 m20 e7
금요일입니다	f0 m18 e15 f11 m12 f11 m20 e7 f11 m20 e16 f2 m20 f3 m0
금융	f0 m18 e15 f11 m17 e20
금융건	f0 m18 e15 f11 m17 e20 f0 m4 e3
금융권	f0 m18 e15 f11 m17 e20 f0 m14 e3
금융정보	f0 m18 e15 f11 m17 e20 f12 m4 e20 f7 m8
금을	f0 m18 e15 f11 m18 e7
금이	f0 m18 e15 f11 m20
금이에요	f0 m18 e15 f11 m20 f11 m5 f11 m12
금주	f0 m18 e15 f12 m13
금주랑	f0 m18 e15 f12 m13 f5 m0 e20
금지된	f0 m18 e15 f12 m20 f3 m11 e3
금쪽같은	f0 m18 e15 f13 m8 e0 f0 m0 e24 f11 m18 e3
금천	f0 m18 e15 f14 m4 e3
금품수수	f0 m18 e15 f17 m13 e15 f9 m13 f9 m13
금호	f0 m18 e15 f18 m8
금호동이에요	f0 m18 e15 f18 m8 f3 m8 e20 f11 m20 f11 m5 f11 m12
금호동입니다	f0 m18 e15 f18 m8 f3 m8 e20 f11 m20 e16 f2 m20 f3 m0
금호분기점	f0 m18 e15 f18 m8 f7 m13 e3 f0 m20 f12 m4 e15
금호산업	f0 m18 e15 f18 m8 f9 m0 e3 f11 m4 e16
금호삼교	f0 m18 e15 f18 m8 f9 m0 e15 f0 m12
금호어울림아파트가	f0 m18 e15 f18 m8 f11 m4 f11 m13 e7 f5 m20 e15 f11 m0 f17 m0 f16 m18 f0 m0
급감	f0 m18 e16 f0 m0 e15
급감이	f0 m18 e16 f0 m0 e15 f11 m20
급격한	f0 m18 e16 f0 m6 e0 f18 m0 e3
급기야	f0 m18 e16 f0 m20 f11 m2
급낙세입니다	f0 m18 e16 f2 m0 e0 f9 m5 f11 m20 e16 f2 m20 f3 m0
급등	f0 m18 e16 f3 m18 e20
급등에	f0 m18 e16 f3 m18 e20 f11 m5
급등입니다	f0 m18 e16 f3 m18 e20 f11 m20 e16 f2 m20 f3 m0
급락가	f0 m18 e16 f5 m0 e0 f0 m0
급락에서	f0 m18 e16 f5 m0 e0 f11 m5 f9 m4
급락이	f0 m18 e16 f5 m0 e0 f11 m20
급락입니다	f0 m18 e16 f5 m0 e0 f11 m20 e16 f2 m20 f3 m0
급락쪽인	f0 m18 e16 f5 m0 e0 f13 m8 e0 f11 m20 e3
급락했나의	f0 m18 e16 f5 m0 e0 f18 m1 e19 f2 m0 f11 m19
급물살입니다	f0 m18 e16 f6 m13 e7 f9 m0 e7 f11 m20 e16 f2 m20 f3 m0
급선의	f0 m18 e16 f9 m4 e3 f11 m19
급식비	f0 m18 e16 f9 m20 e0 f7 m20
급여	f0 m18 e16 f11 m6
급여인상이에요	f0 m18 e16 f11 m6 f11 m20 e3 f9 m0 e20 f11 m20 f11 m5 f11 m12
급증	f0 m18 e16 f12 m18 e20
급증이	f0 m18 e16 f12 m18 e20 f11 m20
급증입니다	f0 m18 e16 f12 m18 e20 f11 m20 e16 f2 m20 f3 m0
급증하고	f0 m18 e16 f12 m18 e20 f18 m0 f0 m8
급탕으로	f0 m18 e16 f16 m0 e20 f11 m18 f5 m8
급팽창입니다	f0 m18 e16 f17 m1 e20 f14 m0 e20 f11 m20 e16 f2 m20 f3 m0
급하게	f0 m18 e16 f18 m0 f0 m5
급한	f0 m18 e16 f18 m0 e3
급행버스에요	f0 m18 e16 f18 m1 e20 f7 m4 f9 m18 f11 m5 f11 m12
급히	f0 m18 e16 f18 m20
긍정적인	f0 m18 e20 f12 m4 e20 f12 m4 e0 f11 m20 e3
기	f0 m20
기가	f0 m20 f0 m0
기각이	f0 m20 f0 m0 e0 f11 m20
기간	f0 m20 f0 m0 e3
기간도	f0 m20 f0 m0 e3 f3 m8
기간동안	f0 m20 f0 m0 e3 f3 m8 e20 f11 m0 e3
